Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,image_path,main_category,label
An Imaginative Experience,"From the beloved British novelist, “a love story that’s simply, grandly, satisfying” (Kirkus Reviews). While traveling home to London, divorcé Sylvester Wykes witnesses a most unusual event: A woman leaps off a locomotive to rescue a sheep in distress. The mystery woman disappears, but Wykes cannot get her out of his head—and is soon caught up in the kind of romance he never thought he’d have again. Ever since losing her husband and child in one catastrophic night, Julia Piper has been consumed by guilt and loneliness. Her neighbors find her a bit odd—and after her daring attempt to save a sheep, she must somewhat agree. But as she strives to piece herself back together while taking on a job tending house for an enigmatic man, she comes to realize that perhaps her chance at finding happiness is not yet out of reach. “Wesley’s dialogue still comes bouncing off the page” in this charming, cynically romantic novel about the emotions, frailties, and desires that drive us, and the search for that one person who can make us whole (Publishers Weekly). “A complex, multilayered, love story . . . vintage Wesley.” —Kirkus Reviews",['Mary Wesley'],http://books.google.com/books/content?id=_X6NAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=_X6NAQAAQBAJ&printsec=frontcover&dq=An+Imaginative+Experience&hl=&cd=1&source=gbs_api,Open Road Media,2013-11-12,https://play.google.com/store/books/details?id=_X6NAQAAQBAJ&source=gbs_api,['Fiction'],6.0,book_covers/30_An_Imaginative_Experience.jpg,Fiction,0
Beyond The Rules (Silhouette Bombshell),"RULE #1: FAMILY COMES FIRST RULE #2: IF YOU BELONG TO KIMMER REED'S FAMILY, IGNORE RULE #1 She'd never planned to see her so-called family again. But that didn't help Hunter Agency operative Kimmer Reed when her brother showed up on her doorstep, men with guns just minutes behind. Seemed he'd gotten in over his head and had decided to give his former mob ""business partners"" a new target: Kimmer. Not so fast. Because Kimmer is no longer a scared teen--she's a highly trained covert agent with things worth fighting for. A job she loves. A house that's truly a home. A sexy man who loves her and believes that family is sacred...uh-oh. It's time for... RULE #3: WHEN YOUR LIFE, LOVE AND MANGY BROTHER ARE AT STAKE, THERE ARE NO RULES....",['Doranna Durgin'],http://books.google.com/books/content?id=wlcyj-K-IwAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=wlcyj-K-IwAC&printsec=frontcover&dq=Beyond+The+Rules+(Silhouette+Bombshell)&hl=&cd=1&source=gbs_api,Harlequin,2009-12-01,http://books.google.com/books?id=wlcyj-K-IwAC&dq=Beyond+The+Rules+(Silhouette+Bombshell)&hl=&source=gbs_api,['Fiction'],7.0,book_covers/294_Beyond_The_Rules__Silhouette_Bombshell_.jpg,Fiction,0
The Message and the Kingdom,"Set against the backdrop of Roman imperial history, The Message and the Kingdom demonstrates how the quest for the kingdom of God by Jesus, Paul, and the earliest churches should be understood as both a spiritual journey and a political response to the ""mindless acts of violence, inequality, and injustice that characterized the kings of men."" Horsley and Silberman reveal how the message of Jesus and Paul was profoundly shaped by the history of their time as well as the social conditions of the congregations to whom they preached.","['Richard A. Horsley', 'Neil Asher Silberman']",http://books.google.com/books/content?id=cENL-aJA95UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=cENL-aJA95UC&printsec=frontcover&dq=The+Message+and+the+Kingdom&hl=&cd=1&source=gbs_api,Fortress Press,2002-01-01,https://play.google.com/store/books/details?id=cENL-aJA95UC&source=gbs_api,['Religion'],,book_covers/616_The_Message_and_the_Kingdom.jpg,Religion,2
Valley of decision,"Every choice has a consequence in the explosive conclusion to the Carthage Chronicles as Lisbeth returns to third-century Carthage for a thrilling final adventure. Thirteen years ago, Lisbeth made an impossible decision—leave third-century Carthage and her husband Cyprian behind for good. She knew it was to protect her daughter Maggie, so Lisbeth gathered the strength to move on with her life. All these years, Lisbeth has thrown herself into her work and raising her headstrong daughter, all to live up to the promise she made to Cyprian. But Maggie is sick of being protected. In an act of teenage rebellion Maggie decides to do what her mother can’t—secretly returning to the third century on a quest to bring her father back, leaving Lisbeth no choice but to follow. With Maggie’s surprise arrival in Carthage, chaos ensues. She finds her grandmother on trial for murder and attempts to save her, but instead the diversion sparks a riot that nearly destroys the plagued city. Only one thing will appease the wrath of the new proconsul of Carthage: the death of the instigator. Will Lisbeth arrive in time to save her daughter from the clutches of Rome? How can God possibly redeem such a slew of unwise decisions and deep regrets? Filled with heart-wrenching twists and riveting action, Valley of Decision brings the romantic adventure epic, The Carthage Chronicles, to an electrifying conclusion.",['Lynne Gentry'],http://books.google.com/books/content?id=QUUjBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=QUUjBQAAQBAJ&pg=PA375&dq=Valley+of+decision&hl=&cd=1&source=gbs_api,Simon and Schuster,2015-09-22,https://play.google.com/store/books/details?id=QUUjBQAAQBAJ&source=gbs_api,['Fiction'],1.0,book_covers/146_Valley_of_decision.jpg,Fiction,0
For the Love of the Land (The Queensland Chronicles Series #2),"Nearly a year after moving to Queensland, Australia, Rebecca Thornton has learned to love her new home and the sometimes unforgiving land. But living in the Outback has its challenges. A drought has settled on Thornton Creek, and Douloo Station has been hit hard. A visit from Aunt Mildred and the birth of Rebecca's first child have kept Rebecca busy, but she still wishes she could be more help to her husband as he tirelessly struggles to save the family home. As the drought continues, Rebecca can only pray for peace for her husband and for the much-needed rain on which their survival depends. For the Love of the Land, book two in the Queensland Chronicles, is a story of hope, prayer, and trust in the One who always provides, even in the toughest of times.",['Bonnie Leon'],http://books.google.com/books/content?id=PC6waDY0wI4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=PC6waDY0wI4C&printsec=frontcover&dq=For+the+Love+of+the+Land+(The+Queensland+Chronicles+Series&hl=&cd=1&source=gbs_api,Baker Books,2005-05-01,https://play.google.com/store/books/details?id=PC6waDY0wI4C&source=gbs_api,['Fiction'],,book_covers/316_For_the_Love_of_the_Land__The_Queensland_Chronicles_Series__2_.jpg,Fiction,0
Liquid Life: Abortion and Buddhism in Japan,"Why would a country strongly influenced by Buddhism's reverence for life allow legalized, widely used abortion? Equally puzzling to many Westerners is the Japanese practice of mizuko rites, in which the parents of aborted fetuses pray for the well-being of these rejected ""lives."" In this provocative investigation, William LaFleur examines abortion as a window on the culture and ethics of Japan. At the same time he contributes to the Western debate on abortion, exploring how the Japanese resolve their conflicting emotions privately and avoid the pro-life/pro-choice politics that sharply divide Americans on the issue.",['William R. LaFleur'],http://books.google.com/books/content?id=nkT_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=nkT_DwAAQBAJ&printsec=frontcover&dq=Liquid+Life:+Abortion+and+Buddhism+in+Japan&hl=&cd=1&source=gbs_api,Princeton University Press,2020-11-10,https://play.google.com/store/books/details?id=nkT_DwAAQBAJ&source=gbs_api,['Religion'],,book_covers/514_Liquid_Life__Abortion_and_Buddhism_in_Japan.jpg,Religion,2
After the Rains (Beneath a Southern Sky Series #2),"Long ago, Natalie’s mother faced an agonizing choice between the two people she loved most, and the difficult resolution to her predicament affects Natalie throughout her young life–fueling a season of teenage rebellion that results in the death of her best friend. As a young woman, Natalie attempts to put her troubles behind her, ultimately finding solace in the arms of a man with close ties to the tragedy. Yet neither time nor love can liberate her from the past. Determined to confront her terrible guilt, Natalie embarks on a journey that will take her thousands of miles from home and straight into the life and heart of a man unlike any she has ever known. Confronted with a decision that echoes the one her mother faced so many years before, Natalie finds herself drawn to two men–each of whom holds a claim to her heart. But the sins of her past must be confronted, and an escape from her guilt found, before her heart will be free to find its home. Showing that God can forgive the gravest of sins, After the Rains beautifully illustrates that his forgiveness comes purely through loving mercy and grace, not by our human efforts to earn it. From the Trade Paperback edition.",['Deborah Raney'],http://books.google.com/books/content?id=__OXV3B2b8QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=__OXV3B2b8QC&printsec=frontcover&dq=After+the+Rains+(Beneath+a+Southern+Sky+Series&hl=&cd=1&source=gbs_api,WaterBrook,2011-11-30,http://books.google.com/books?id=__OXV3B2b8QC&dq=After+the+Rains+(Beneath+a+Southern+Sky+Series&hl=&source=gbs_api,['Fiction'],1.0,book_covers/89_After_the_Rains__Beneath_a_Southern_Sky_Series__2_.jpg,Fiction,0
Texas Hero (Harlequin Historical),"Texas Hero by Ruth Langan released on May 25, 1993 is available now for purchase.",['Ruth Langan'],http://books.google.com/books/content?id=uYPp3g7-SOoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=uYPp3g7-SOoC&q=Texas+Hero+(Harlequin+Historical)&dq=Texas+Hero+(Harlequin+Historical)&hl=&cd=1&source=gbs_api,Harlequin Treasury-Harlequin Historicals 90s,1993,http://books.google.com/books?id=uYPp3g7-SOoC&dq=Texas+Hero+(Harlequin+Historical)&hl=&source=gbs_api,['Fiction'],,book_covers/300_Texas_Hero__Harlequin_Historical_.jpg,Fiction,0
Candlewood Lake,,"['Susan Murphy', 'Gary Smolen']",http://books.google.com/books/content?id=jA1GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=jA1GPgAACAAJ&dq=Candlewood+Lake&hl=&cd=1&source=gbs_api,Arcadia Pub,2009-07,http://books.google.com/books?id=jA1GPgAACAAJ&dq=Candlewood+Lake&hl=&source=gbs_api,['History'],,book_covers/851_Candlewood_Lake.jpg,History,1
"Duluth, Minnesota (Images of America)",Duluth's nineteenth and twentieth century history is presented through vintage photographs.,"['Sheldon T. Aubut', 'Maryanne C. Norton']",http://books.google.com/books/content?id=5WjVeFKVKTQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=5WjVeFKVKTQC&printsec=frontcover&dq=Duluth,+Minnesota+(Images+of+America)&hl=&cd=1&source=gbs_api",Arcadia Publishing,2001,"http://books.google.com/books?id=5WjVeFKVKTQC&dq=Duluth,+Minnesota+(Images+of+America)&hl=&source=gbs_api",['History'],,book_covers/982_Duluth__Minnesota__Images_of_America_.jpg,History,1
The Mercenary: Year 1000 : The End of the World,,['Vicente Segrelles'],http://books.google.com/books/content?id=mk8RPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=mk8RPQAACAAJ&dq=The+Mercenary:+Year+1000+:+The+End+of+the+World&hl=&cd=1&source=gbs_api,Nbm Publishing Company,1996-10-01,http://books.google.com/books?id=mk8RPQAACAAJ&dq=The+Mercenary:+Year+1000+:+The+End+of+the+World&hl=&source=gbs_api,['Fiction'],,book_covers/151_The_Mercenary__Year_1000___The_End_of_the_World.jpg,Fiction,0
The Battle of the Somme: A Topographical History,This book has proven a necessary addition to the library of any student of the First World War and an essential handbook for the increasing number of visitors to the battlefield.,['Gerald Gliddon'],http://books.google.com/books/content?id=9QnzkQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=9QnzkQEACAAJ&dq=The+Battle+of+the+Somme:+A+Topographical+History&hl=&cd=1&source=gbs_api,History PressLtd,1994,http://books.google.com/books?id=9QnzkQEACAAJ&dq=The+Battle+of+the+Somme:+A+Topographical+History&hl=&source=gbs_api,['History'],,book_covers/798_The_Battle_of_the_Somme__A_Topographical_History.jpg,History,1
The Turks Today,"Eighty years have passed since Mustafa Kemal Ataturk founded the Turkish Republic out of the ruins of the Ottoman Empire and set it on the path of modernisation. He was determined that his country should be accepted as a member of the family of civilised nations. Today Turkey is a rapidly developing country, an emergent market and a medium-sized regional power with the second strongest army in NATO. It is an open country which attracts millions of tourists, thousands of foreign businessmen and hundreds of researchers. They enjoy Turkish hospitality and experience its rich landscape and history, but many find it hard to form an overall picture of the country. In this sequel to his acclaimed biography of Ataturk, Andrew Mango provides such an overall portrait, tracing the republic's development since the death of its founder and bringing to life the Turkish people and their vibrant society. The Turks Today interprets the latest academic research for a broader audience, making this highly readable book the authoritative work on modern Turkey.",['Andrew Mango'],http://books.google.com/books/content?id=t0JwYHsv-6AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=t0JwYHsv-6AC&printsec=frontcover&dq=The+Turks+Today&hl=&cd=1&source=gbs_api,Hachette UK,2011-06-23,https://play.google.com/store/books/details?id=t0JwYHsv-6AC&source=gbs_api,['History'],2.0,book_covers/877_The_Turks_Today.jpg,History,1
A Plague of Sheep: Environmental Consequences of the Conquest of Mexico (Studies in Environment and History),"Taking as a case study the sixteenth-century history of a region of highland central Mexico, this book is about the biological conquest of the New World.",['Elinor G. K. Melville'],http://books.google.com/books/content?id=kEvQLSDmv_wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=kEvQLSDmv_wC&printsec=frontcover&dq=A+Plague+of+Sheep:+Environmental+Consequences+of+the+Conquest+of+Mexico+(Studies+in+Environment+and+History)&hl=&cd=1&source=gbs_api,Cambridge University Press,1997-07-13,http://books.google.com/books?id=kEvQLSDmv_wC&dq=A+Plague+of+Sheep:+Environmental+Consequences+of+the+Conquest+of+Mexico+(Studies+in+Environment+and+History)&hl=&source=gbs_api,['History'],,book_covers/689_A_Plague_of_Sheep__Environmental_Consequences_of_the_Conquest_of_Mexico__Studies_in_Environment_and_History_.jpg,History,1
Trajectories in Near Eastern Apocalyptic: A Postrabbinic Jewish Apocalypse Reader (Resources for Biblical Study),,['John C. Reeves'],http://books.google.com/books/content?id=TO6q6Je0r24C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=TO6q6Je0r24C&printsec=frontcover&dq=Trajectories+in+Near+Eastern+Apocalyptic:+A+Postrabbinic+Jewish+Apocalypse+Reader+(Resources+for+Biblical+Study)&hl=&cd=1&source=gbs_api,Society of Biblical Lit,2005,https://play.google.com/store/books/details?id=TO6q6Je0r24C&source=gbs_api,['Religion'],,book_covers/355_Trajectories_in_Near_Eastern_Apocalyptic__A_Postrabbinic_Jewish_Apocalypse_Reader__Resources_for_Biblical_Study_.jpg,Religion,2
Questioning the Bible: Guide to the Most Questioned Book in the World,"Everyone has questions about the Bible—from the senior pastor of the big church down the road to the guest at the hotel off the interstate. Where did it come from? What does it have to do with my life? Hal Seed takes you on a tour into and behind the Bible, so that you get to know it and the God who makes himself known in it.",['Hal Seed'],http://books.google.com/books/content?id=raCElX_V5bUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=raCElX_V5bUC&printsec=frontcover&dq=Questioning+the+Bible:+Guide+to+the+Most+Questioned+Book+in+the+World&hl=&cd=1&source=gbs_api,InterVarsity Press,2012-07-03,https://play.google.com/store/books/details?id=raCElX_V5bUC&source=gbs_api,['Religion'],,book_covers/495_Questioning_the_Bible__Guide_to_the_Most_Questioned_Book_in_the_World.jpg,Religion,2
Detective Agency: Women Rewriting the Hard-Boiled Tradition,"Since the late 1970s, a subgenre of crime fiction, written by women and featuring a professional woman investigator, has exploded on the popular fiction market. Priscilla L. Walton and Manina Jones focus on this recent proliferation of women writers of detective fiction, providing the first book-length study of the historical and societal changes that fueled this popularity, along with insightful and entertaining readings of the texts themselves. Walton and Jones place the genre within its aesthetic, social, and economic contexts, reading it as an index of cultural beliefs. Addressing the ways that Sara Paretsky, Sue Grafton, Marcia Muller, and others work through the conventions of the ""hard-boiled"" genre made popular by writers such as Dashiell Hammett, Raymond Chandler, and Mickey Spillane, the authors show how the male hard-boiled tradition has been challenged and transformed. Issues of child, spousal, and sexual abuse are more likely to surface in women's detective novels, the authors show, and female sleuths face many of the same dilemmas as those who read about them—everyday problems with relationships, parenting, and money. Detective Agency also integrates interviews with authors and publishers, reader surveys, publication data, and analysis of internet discussion groups to present a fascinating picture of the ""industry"" of women's detective fiction. Authors of these works are powerful players in the publishing system as well as agents of cultural intervention, Walton and Jones claim. They conclude by examining the rise of female detectives in television and film.","['Priscilla L. Walton', 'Manina Jones']",http://books.google.com/books/content?id=KyYsWAn2w8sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=KyYsWAn2w8sC&printsec=frontcover&dq=Detective+Agency:+Women+Rewriting+the+Hard-Boiled+Tradition&hl=&cd=1&source=gbs_api,Univ of California Press,1999-05-31,https://play.google.com/store/books/details?id=KyYsWAn2w8sC&source=gbs_api,['Fiction'],,book_covers/203_Detective_Agency__Women_Rewriting_the_Hard-Boiled_Tradition.jpg,Fiction,0
See Jane Run,"Jane Whittaker finds herself on a downtown street, her pockets stuffed with a large number of crisp $100 bills, the front of her dress soaked with blood. She has no idea of her identity. After a terrifying night of hiding, Jane ends up in hospital. There, while undergoing a battery of medical tests, she is recognized by one of the nurses. Soon her husband comes to claim her. He is every woman’s dream: popular, respected, wealthy, a tall blond doctor. He takes Jane home and vows to cure her with loving care and modern medicine. But Jane doesn’t get any better. The medication seems to be turning her into a zombie, and she begins to feel that her private nurse is holding her a virtual prisoner in her own home, isolating her from friends who might help her recover. Can Jane remember her past in time… in time to stop whatever it is that is happening to her, whatever made her lose her memory in the first place, whatever is trying to destroy her and her family?...",['Joy Fielding'],http://books.google.com/books/content?id=REgPpmJmVOEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=REgPpmJmVOEC&printsec=frontcover&dq=See+Jane+Run&hl=&cd=1&source=gbs_api,Seal Books,2010-12-10,http://books.google.com/books?id=REgPpmJmVOEC&dq=See+Jane+Run&hl=&source=gbs_api,['Fiction'],4.0,book_covers/53_See_Jane_Run.jpg,Fiction,0
"The Book of Hiding: Gender, Ethnicity, Annihilation, and Esther (Biblical Limits)","The Book of Hiding offers a fluent and erudite analysis of the parallels between the Bible and contemporary discussions of gender, ethnicity and social ambiguity. Beal focuses particularly on the traditionally marginalised book of Esther, in order to examine closely the categories of self and other in relation to religion, sexism, nationalism, and the ever-looming legacies and future possibilities of annihilation. Beal applies the critical tools of contemporary theorists, such as Cixous, Irigaray and Levinas, challenging widely held assumptions about the moral and life-affirming message of Scripture and even about the presence of God in the book of Esther. The Book of Hiding draws together a variety of different perspectives and disciplines, creating a unique space for dialogue raising new questions and reconsidering old assumptions, which is profoundly interesting and well-articulated.",['Timothy K. Beal'],http://books.google.com/books/content?id=ReqGAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=ReqGAgAAQBAJ&printsec=frontcover&dq=The+Book+of+Hiding:+Gender,+Ethnicity,+Annihilation,+and+Esther+(Biblical+Limits)&hl=&cd=1&source=gbs_api",Routledge,2002-01-04,https://play.google.com/store/books/details?id=ReqGAgAAQBAJ&source=gbs_api,['Religion'],,book_covers/431_The_Book_of_Hiding__Gender__Ethnicity__Annihilation__and_Esther__Biblical_Limits_.jpg,Religion,2
From Existence to God: A Contemporary Philosophical Argument,,['Barry Miller'],http://books.google.com/books/content?id=c_ANAAAAQAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=c_ANAAAAQAAJ&dq=From+Existence+to+God:+A+Contemporary+Philosophical+Argument&hl=&cd=1&source=gbs_api,Taylor & Francis,1992,http://books.google.com/books?id=c_ANAAAAQAAJ&dq=From+Existence+to+God:+A+Contemporary+Philosophical+Argument&hl=&source=gbs_api,['Religion'],,book_covers/363_From_Existence_to_God__A_Contemporary_Philosophical_Argument.jpg,Religion,2
Tullahoma: The 1863 Campaign for the Control of Middle Tennessee,"""The Tullahoma campaign of 1863 is often overlooked, overshadowed by the simultaneous events at Gettysburg and Vicksburg. However, the strategic results of the campaign were enormous: the Confederacy lost the human, agricultural, and industrial capacity of middle Tennessee; Chattanooga came under fire; and the Union Army of the Cumberland took a large step forward in the campaign to divide the Confederacy.""--BOOK JACKET.",['Michael Raymond Bradley'],http://books.google.com/books/content?id=RRx3AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=RRx3AAAAMAAJ&q=Tullahoma:+The+1863+Campaign+for+the+Control+of+Middle+Tennessee&dq=Tullahoma:+The+1863+Campaign+for+the+Control+of+Middle+Tennessee&hl=&cd=1&source=gbs_api,White Mane Pub,2000,http://books.google.com/books?id=RRx3AAAAMAAJ&dq=Tullahoma:+The+1863+Campaign+for+the+Control+of+Middle+Tennessee&hl=&source=gbs_api,['History'],1.0,book_covers/698_Tullahoma__The_1863_Campaign_for_the_Control_of_Middle_Tennessee.jpg,History,1
Blood and Iron: The German Conquest of Sevastopol,Narrates the epic World War II battles for the most strongly fortified city in the world.,['C. G. Sweeting'],http://books.google.com/books/content?id=7DqPPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=7DqPPwAACAAJ&dq=Blood+and+Iron:+The+German+Conquest+of+Sevastopol&hl=&cd=1&source=gbs_api,Potomac Books,2005-10,http://books.google.com/books?id=7DqPPwAACAAJ&dq=Blood+and+Iron:+The+German+Conquest+of+Sevastopol&hl=&source=gbs_api,['History'],,book_covers/874_Blood_and_Iron__The_German_Conquest_of_Sevastopol.jpg,History,1
Inside the Resistance: The Iraqi Insurgency and the Future of the Middle East (Nation Books),"Draws on the author's experiences with Iraqi resistance movement leaders since 2003, documenting the extent of Al-Qaeda's involvement while explaining how the Iraq War is affecting such nations as Syria, Saudi Arabia, and Turkey.",['Zaki Chehab'],http://books.google.com/books/content?id=KRKNr_B_RjMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=KRKNr_B_RjMC&dq=Inside+the+Resistance:+The+Iraqi+Insurgency+and+the+Future+of+the+Middle+East+(Nation+Books)&hl=&cd=1&source=gbs_api,,2005,http://books.google.nl/books?id=KRKNr_B_RjMC&dq=Inside+the+Resistance:+The+Iraqi+Insurgency+and+the+Future+of+the+Middle+East+(Nation+Books)&hl=&source=gbs_api,['History'],1.0,book_covers/740_Inside_the_Resistance__The_Iraqi_Insurgency_and_the_Future_of_the_Middle_East__Nation_Books_.jpg,History,1
Twisted: The collected stories of Jeffery Deaver,"An anthology of short fiction includes ""The Christmas Present,"" a holiday tale featuring Lincoln Rhyme, as well as ""Gone Fishing,"" ""Triangle,"" ""The Kneeling Soldier,"" and ""Without Jonathan.""",['Jeffery Deaver'],http://books.google.com/books/content?id=__kSTI5Z_jsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=__kSTI5Z_jsC&printsec=frontcover&dq=Twisted:+The+collected+stories+of+Jeffery+Deaver&hl=&cd=1&source=gbs_api,Simon and Schuster,2004-11,http://books.google.nl/books?id=__kSTI5Z_jsC&dq=Twisted:+The+collected+stories+of+Jeffery+Deaver&hl=&source=gbs_api,['Fiction'],13.0,book_covers/264_Twisted__The_collected_stories_of_Jeffery_Deaver.jpg,Fiction,0
Retief of the CDT (Jaime Retief Series #6),"This reference tracks the development of speculative fiction influenced by the advancement of science and the idea of progress from the eighteenth century to the present day. The major authors and publications of the genre and significant subgenres are covered. Additionally there are entries on fields of science and technology which have been particularly prolific in provoking such speculation. The list of acronyms and abbreviations, the chronology covering the literature from the 1700s through the present, the introductory essay, and the dictionary entries provide science fiction novices and enthusiasts as well as serious writers and critics with a wonderful foundation for understanding the realm of science fiction literature. The extensive bibliography that includes books, journals, fanzines, and websites demonstrates that science fiction literature commands a massive following.",['Brian M. Stableford'],http://books.google.com/books/content?id=nzmIPZg5xicC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=nzmIPZg5xicC&pg=PA193&dq=Retief+of+the+CDT+(Jaime+Retief+Series&hl=&cd=1&source=gbs_api,Scarecrow Press,2004,http://books.google.nl/books?id=nzmIPZg5xicC&dq=Retief+of+the+CDT+(Jaime+Retief+Series&hl=&source=gbs_api,['History'],1.0,book_covers/696_Retief_of_the_CDT__Jaime_Retief_Series__6_.jpg,History,1
The Valley of Vision,"The strength of Puritan character and life lay in prayer and meditation. In this practice the spirit of prayer was regarded as of first importance and the best form of prayer, for living prayer is the characteristic of genuine spirituality. Yet prayer is also vocal and may therefore on occasions be written. Consequently in the Puritan tradition there are many written prayers and meditations which constitute an important corpus of inspiring devotional literature. Too often ex tempore prayer lacks variety, order and definiteness. The reason for this lies partly in a neglect of due preparation. It is here that the care and scriptural thoroughness which others found necessary in their approach to God may be of help. This book has been prepared not to 'supply' prayers but to prompt and encourage the Christian as he treads the path on which others have gone before.",['Arthur Bennett'],http://books.google.com/books/content?id=l_AdAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=l_AdAQAACAAJ&dq=The+Valley+of+Vision&hl=&cd=1&source=gbs_api,Banner of Truth,2003-03-01,http://books.google.com/books?id=l_AdAQAACAAJ&dq=The+Valley+of+Vision&hl=&source=gbs_api,['Religion'],143.0,book_covers/593_The_Valley_of_Vision.jpg,Religion,2
The Soviet Mafia,"The first English-language book to document the men who emerged from the gulags to become Russia's much-feared crime class: the vory v zakone Mark Galeotti is the go-to expert on organized crime in Russia, consulted by governments and police around the world. Now, Western readers can explore the fascinating history of the vory v zakone, a group that has survived and thrived amid the changes brought on by Stalinism, the Cold War, the Afghan War, and the end of the Soviet experiment. The vory--as the Russian mafia is also known--was born early in the twentieth century, largely in the Gulags and criminal camps, where they developed their unique culture. Identified by their signature tattoos, members abided by the thieves' code, a strict system that forbade all paid employment and cooperation with law enforcement and the state. Based on two decades of on-the-ground research, Galeotti's captivating study details the vory's journey to power from their early days to their adaptation to modern-day Russia's free-wheeling oligarchy and global opportunities beyond.",['Mark Galeotti'],http://books.google.com/books/content?id=8PFVDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=8PFVDwAAQBAJ&pg=PP1&dq=The+Soviet+Mafia&hl=&cd=1&source=gbs_api,Yale University Press,2018-01-01,http://books.google.com/books?id=8PFVDwAAQBAJ&dq=The+Soviet+Mafia&hl=&source=gbs_api,['History'],,book_covers/889_The_Soviet_Mafia.jpg,History,1
The Bishopric: A Handbook on Creating Episcopacy in the African-American Pentecostal Church,The Bishopric: A Handbook on Creating Episcopacy in the African-American Pentecostal Church addresses the need for assistance and training for the proliferated Episcopacy within the African-American community.,['J. Delano Ellis'],http://books.google.com/books/content?id=6JMuxEE63BUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=6JMuxEE63BUC&printsec=frontcover&dq=The+Bishopric:+A+Handbook+on+Creating+Episcopacy+in+the+African-American+Pentecostal+Church&hl=&cd=1&source=gbs_api,Trafford Publishing,2003,http://books.google.com/books?id=6JMuxEE63BUC&dq=The+Bishopric:+A+Handbook+on+Creating+Episcopacy+in+the+African-American+Pentecostal+Church&hl=&source=gbs_api,['Religion'],1.0,book_covers/572_The_Bishopric__A_Handbook_on_Creating_Episcopacy_in_the_African-American_Pentecostal_Church.jpg,Religion,2
"Inanna, queen of heaven and earth: Her stories and hymns from Sumer","A fresh retelling of the ancient texts about Ishtar, the world's first goddess. Illustrated with visual artifacts of the period. ""A great masterpiece of universal literature.""--Mircea Eliade",['Diane Wolkstein'],http://books.google.com/books/content?id=DF4pNpLmRBUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=DF4pNpLmRBUC&printsec=frontcover&dq=Inanna,+queen+of+heaven+and+earth:+Her+stories+and+hymns+from+Sumer&hl=&cd=1&source=gbs_api",Harper Collins,1983-08-03,"http://books.google.com/books?id=DF4pNpLmRBUC&dq=Inanna,+queen+of+heaven+and+earth:+Her+stories+and+hymns+from+Sumer&hl=&source=gbs_api",['Religion'],,book_covers/468_Inanna__queen_of_heaven_and_earth__Her_stories_and_hymns_from_Sumer.jpg,Religion,2
